"video_id,comment_count,comments_status,view_count,like_count,error"
"Bw75H5dKVxk,0,disabled,1217131,23112,"
"yf0s4Q8cLW8,51,enabled,24610,275,"
"9zJlI5VzAvQ,1881,enabled,2581673,20891,"
"gIkZT9Bhugc,1931,enabled,9960595,200481,"
"KtKzbboo0bw,728,enabled,259332,2140,"
"kaKpA_l4WoE,205,enabled,46326,905,"
"q_aM4KXTYPk,23,enabled,27300,223,"
"MW2x0GiJlO0,365,enabled,190694,4051,"
"oqU_pqD6OCA,49,enabled,11139,202,"
"NrIfVaWzlnQ,14059,enabled,7826469,65564,"
"A9t00pgrjRA,5968,enabled,1848571,27064,"
"NRD60VaEHQU,149,enabled,57971,532,"
"xr9vo10M0U4,49,enabled,121050,1074,"
"YRfUR9iVPHc,6909,enabled,8854878,65754,"
"lFfjB8kyGfE,0,disabled,4309031,23054,"
"S3DGvtvCdTA,99,enabled,205230,508,"
"XOm1bqRxCV8,134,enabled,1883930,9004,"
"sCiJj2H9szk,478,enabled,1764435,14266,"
"HA1LCLBLZ-w,792,enabled,319610,2396,"
"SKieDgTC8_o,624,enabled,289159,7199,"
"tEVJSS_SRHA,225,enabled,173801,4572,"
"CEZ_zD1cdXQ,11,enabled,60103,189,"
"nm_J0-Hzt9A,653,enabled,210243,4419,"
"QYBxGRgyDUc,3744,enabled,3629731,35709,"
"t_SEr0i2awI,174,enabled,61970,1446,"
"khVJLkvx60k,882,enabled,867744,11008,"
"pnx97u-caCY,771,enabled,197567,1642,"
"fZbIwpwggm0,103,enabled,233674,2146,"
"HGVpgRGHD8s,1890,enabled,287374,4846,"
"28WfafDEsjU,1506,enabled,4414428,18891,"
"1dRPa4P-hkA,2098,enabled,1884163,13673,"
"OpPRP0UHWqY,8,enabled,1086,21,"
"6Z9f8CiJG7Y,6,enabled,840,16,"
"IS0XyV_8AnQ,99,enabled,45980,1664,"
"RxkvChHDKgQ,540,enabled,363060,3504,"
"M91oUw8Hd6c,71,enabled,12072,269,"
